top - 09:29:23 up 1 day,  2:08,  4 users,  load average: 1.07, 0.68, 0.50
Tasks: 338 total,   1 running, 337 sleeping,   0 stopped,   0 zombie
%Cpu(s):  3.1 us, 15.6 sy,  0.0 ni, 78.1 id,  3.1 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   3354.4 total,    423.8 free,   2329.1 used,    615.8 buff/cache     
MiB Swap:   3530.0 total,   2929.8 free,    600.2 used.   1025.3 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  27846 root      20   0   13424   5588   3540 R  12.5   0.2   0:00.07 top
      1 root      20   0   25616  14220  10124 S   0.0   0.4   0:35.41 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.83 kthreadd
      3 root      20   0       0      0      0 S   0.0   0.0   0:00.00 pool_wo+
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      5 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      7 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      8 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     13 root       0 -20       0      0      0 I   0.0   0.0   0:00.01 kworker+
     14 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     15 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     16 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     17 root      20   0       0      0      0 S   0.0   0.0   0:01.85 ksoftir+
     18 root      20   0       0      0      0 I   0.0   0.0   0:15.35 rcu_pre+
     19 root      20   0       0      0      0 S   0.0   0.0   0:00.03 rcu_exp+
     20 root      20   0       0      0      0 S   0.0   0.0   0:00.08 rcu_exp+
     21 root      rt   0       0      0      0 S   0.0   0.0   0:02.45 migrati+
     22 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     23 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
     24 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/1
     25 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     26 root      rt   0       0      0      0 S   0.0   0.0   0:04.29 migrati+
     27 root      20   0       0      0      0 S   0.0   0.0   0:05.62 ksoftir+
     32 root      20   0       0      0      0 S   0.0   0.0   0:00.04 kdevtmp+
     33 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     34 root      20   0       0      0      0 S   0.0   0.0   0:00.02 kauditd
     35 root      20   0       0      0      0 S   0.0   0.0   0:00.62 khungta+
     36 root      20   0       0      0      0 S   0.0   0.0   0:00.00 oom_rea+
     39 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     40 root      20   0       0      0      0 S   0.0   0.0   0:37.59 kcompac+
     41 root      25   5       0      0      0 S   0.0   0.0   0:00.00 ksmd
     42 root      39  19       0      0      0 S   0.0   0.0   0:00.00 khugepa+
     43 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     44 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     45 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     46 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/9-a+
     48 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     49 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     50 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     51 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     52 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     53 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     54 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 watchdo+
     56 root      20   0       0      0      0 S   0.0   0.0   0:49.13 kswapd0
     57 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ecryptf+
     58 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     59 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/24-+
     60 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/25-+
     61 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/26-+
     62 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/27-+
     63 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/28-+
     64 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/29-+
     65 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/30-+
     66 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/31-+
     67 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/32-+
     68 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/33-+
     69 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/34-+
     70 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/35-+
     71 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/36-+
     72 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/37-+
     73 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/38-+
     74 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/39-+
     75 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/40-+
     76 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/41-+
     77 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/42-+
     78 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/43-+
     79 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/44-+
     80 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/45-+
     81 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/46-+
     82 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/47-+
